book_title,author,reader_review,rating
Les Dossiers du Voile,Adrien Tomas,"Si je l’ai lu, c’est grâce à ma participation à la rencontre avec Adrien Tomas, qui m’a donné envie de lire d’autres de ses romans, dont celui-ci ! Et je n’ai pas du tout été déçue !",4.5
"Trait pour trait, tome 5",Akiko Higashimura,"Un ultime tome à l'image de la série, beau, percutant, ravageur, intéressant, réaliste, brutale, sans concession. C'est d'ailleurs ce fameux professeur qui lui a tant apporté qui fait la couverture.",4.5
Trois jours et une vie,Pierre Lemaitre,"Mais quelle idée géniale que ce ""Trois jours et une vie""!",5.0
Ballade pour Georg Henig,Victor Paskov,"Ballade pour Georg Henig a reçu le Grand Prix de littérature étrangère au Salon du livre de Bordeaux en 1991, dont il était éprouvait une grande fierté nous précise Marie Vrinat dans la postface de cette nouvelle édition.",5.0
Après,Stephen King,"Je n’ai eu aucun scrupule, avec cette météo pourrie, à rester au chaud hier en compagnie du Maître King et de son nouveau roman « Après ». Un thriller court (enfin pour moi) par rapport à certains de ses pavés, seulement 330 pages. Un retour au thriller limite épouvante mais soft malgré tout, très loin de « Simetiere » et de « Shinning ».",4.0
Un chien nommé Noël,Greg Kincaid,"Je ne sais même plus d'où je tiens ce livre, mais en le retrouvant dans ma bibliothèque je me suis dit que c'était la bonne période pour le lire… et je ne regrette pas une seule seconde !",4.5
L'inspectrice Harris est une connasse,Aloysius Wilde,Avis : CASH,4.0
Un petit carnet rouge,Sofia Lundberg,"""J'aurais pu rester là pour toujours. Ma place était au milieu des livres, c'était parmi eux que j'étais heureuse.""",5.0
"Spirou et Fantasio, tome 27 : L'Ankou",Jean-Claude Fournier,"Un tome très drôle avec en vedette l’Ankou ! Spirou et Fantasio sont toujours fidèle à eux-mêmes, l’un grincheux sur le bord, l’autre enjoué et le fidèle Spip nous entraine dans une aventure mystérieuse mais néanmoins passionnante.",4.5
Grande couronne,Salomé Kiner,"Le premier roman de Salomé Kiner s’ouvre sur un constat, celui de la surprise de la vie. La narratrice, une adolescente, voit comment la vie d’une certaine Amanda a tourné. Là où celle-ci s’expose, la narratrice montre tout de suite qu’elle se cache, qu’elle dissimule ce qui pèse sur son quotidien. Ses parents, leur manque d’argent, le regard féroce des filles de son école… Tout l’encombre et lui pèse. La narratrice manque d’espace dans sa réalité. Alors elle explore toutes les sorties possibles et Salomé Kiner la suit, reste à ses côtés, ne loupant aucun ressenti de son protagoniste. L’adolescente suce des hommes dans leur voiture, sur un parking. Elle fait cela pour l’argent, en a conscience, ce qui n’amoindrit jamais la violence de ces mecs se pensant puissant pendant quelques minutes. Ils la violentent par les gestes, par les mots, là où ses « amies » la méprisent avec les mêmes moyens. L’adolescente n’est pas épargnée, s’accrochant à ses rêves, puis rapidement prisonnière d’une bulle de références médiatiques et commerciales. Face à ses parents qui divorcent et au délitement de la famille, elle se construit un autre monde de repères et de figures, qui progressivement s’impose à elle et devient sa grille de lecture. Elle existe par les marques qu’elle porte, brillant comme un chevalier exhibant ses armoiries. Les noms de marques, de stars du moment et les slogans ponctuent le récit. La narratrice se retrouve dans une autre sphère où l’argent et le sexe deviennent synonymes de liberté. Et ce qui anime la narration c’est le point de vue de cette adolescente. Elle n’est pas écrasée par tout cela. Elle survit par son esprit, un certain humour et cette distance est salvatrice, alimentant l’espoir plus que la tragédie. Au cœur de cette vie de banlieue, grise et soumise au marketing, elle poursuit son chemin et Salomé Kiner, par les nombreux événements de son roman, creuse des thématiques fortes (le rapport au corps, ce recours aux images publiques, l’importance de la justice) sans jamais s’éloigner des préoccupations et de ce que cogite son personnage. Le roman s’installe et se déploie dans l’esprit de cet être en construction sans pour autant user des artifices d’un roman d’apprentissage. C’est plus intime, plus caustique et plus éclairant sur le basculement du regard des êtres sur leur propre société. Au fur et à mesure du roman, c’est tout un monde qui apparaît, de parents qui n’ont plus de liens avec leurs enfants, d’une solidarité familiale affaiblie et de la persistance de l’amour réconfortant et libérateur. Là encore, sous la plume vive de Salomé Kiner, l’amour existe dans toutes ses dimensions : le désir, le fantasme, la force des sentiments et l’importance des codes sociaux pour construire une relation. À partir d’un parcours personnel, l’autrice compose une topographie sensible de la société, rappelant la portée de l’urbanisme sur l’épanouissement des êtres et leur possibilité à se lier au présent et à construire leur futur.",4.5
Emma,Jane Austen,"Une très agréable lecture ! Jane Austen a ce mystérieux talent de capter mon attention en ne racontant finalement pas grand chose. La campagne anglaise et ses mœurs, ses quiproquos amoureux, les visites les uns chez les autres, lebal et le papa hyponcondriaques que tout le monde surprotège agaçant au possible. Ca remue peu, la lecture se fait au rythme des journées de tout ce beau monde et ce beau monde prend son temps.! Et c'est peut être là sa force finalement car je m'y suis totalement emprègnée, j'étais parmi eux !",3.5
Le passeur,Lois Lowry,Le passeur 🍎,4.5
Richesse oblige,Cayre Hannelore,Un roman assez jubilatoire et très instructif en même temps. L'auteure a effectué un gros travail de recherches sur le système du remplaçant en cas de mauvais tirage pour le service militaire de 9 ans en 1870.,4.0
Belle Greene,Alexandra Lapierre,"Magnifique biographie romancée d'une femme hors du commun, qui bâtit sa vie sur un dangereux mensonge dans une Amérique des années 1900 ségrégationniste.",4.0
Psycho investigateur,Benoît Dahan,J'ai bien aimé cette histoire en 3 chapitres.,3.0
Terrasse à Rome,Pascal Quignard,"Pascal Quignard nous conte la vie de Meaume, eau-fortier d'origine lorraine, défiguré par le prétendant jaloux de sa maitresse. on y croise Claude gelée, dit Le Lorrain, Sainte Colombe sujet d'un précédent livre ""Tous les matins du monde""... Pascal Quignard aime ce XVIIème sièle et s'y complait. Il aime émailler son texte de citations latines non explicitées ou traduites. Il aime nous perdre aussi et c'est le gros reproche que je lui ferais. Sa langue est poétique, riche mais très souvent absconse. Le résultat est que l'on continue la lecture mais que l'on est content d'avoir fini et d'enfin lacher , tout en se demandant ce qu'il en restera!",2.0
Rue Panse-Bougre,FAIZANT Jacques,"Un livre étonnant qui m'a fait découvrir que Jacques Faizant n'était pas seulement dessinateur, mais aussi écrivain. Par-dessus le marché, un conteur de grand talent, au style remarquable, aux inventions hilarantes. Il réussit précisément là où Daninos a échoué, et pourtant à la différence de Daninos, de ses caricatures en carton bouilli, de ""sa prétention à préjuger des préjugés des autres"" et de son style approximatif, c'est Faizant qu'on a oublié. La postérité n'est pas très équitable.",5.0
Silo : Générations,Hugh Howey,"Avec la copine @litterature.andco , on a lu le dernier tome de Silo, et c'était INCROYABLE.",4.5
Seule en sa demeure,Cécile Coulon,"J'ai lu, que dis-je ?, j'ai dévoré Seule en sa demeure, dans le cadre d'un booktrip via les supers @thebooktrotteuses !",4.0
La tresse,Laetitia Colombani,"Aujourd’hui, je vais vous parler de La Tresse de Laetitia Colombani, un livre qui dans un premier temps ne m’a pas du tout attiré, mais qui s’est avéré être une belle découverte.",5.0
"Lady Mechanika, tome 2 : Révélations",Joe Benitez,"Pourquoi ai-je attendu si longtemps avant de lire le volume 2 ? Encore un mystère de la pile à lire. Pourtant j'adore cet univers steampunk. Le graphisme sexy et crépusculaire de Benitez est à tomber et l'aventure ne connait pas de pause. Si vous aimez les très beaux dessins, quasiment un tiers du bouquin est consacré à un portfolio de représentations de Lady Mechanika par Benitez, mais aussi de fan-arts par d'autres graphistes tous extrêmement talentueux.",4.5
Sigló ,Ragnar Jónasson,"6ème et actuellement dernière enquête du célèbre Ari Thór ! Ce tome fait partie, pour moi, des ""bons"" tomes. C'est à dire que l'enquête est intéressante, toujours menée lentement comme l'auteur en a l'habitude et le dénouement, bien que prévisible, fait son petit effet. Dans ce tome, on perd le côté cul-cul concernant la relation de Ari Thór et Kristin, ce qui n'est pas pour me déplaire car je commençais à trouver ça un peu lourd.. Il y a du nouveau dans la vie du jeune inspecteur et la suite, si il y en a une, s'annonce prometteuse ! Affaire à suivre !",4.0
Maybe it's love,F. V. Estyer,"Je ne connaissais pas encore la plume de l'autrice mais j'avais vu passer beaucoup de très bons avis sur ses romans. J'ai donc saisie l'occasion de découvrir Maybe it's love de F. V. Estyer pour voir, si j'allais moi aussi, succomber.",1.0
Tout peut s'oublier,Olivier Adam,Effets mitigés pour ce livre,4.0
Après la chute,Marie Leymarie,"Je découvre avec ""Après la chute"" la plume de Marie Leymarie.",3.5
Après,Stephen King,"En voyant la version française (Après chez Albin Michel) apparaître dans une liste de cadeaux pour Noël, je me suis souvenue que j’avais ce court roman de Stephen King en version originale sur ma liseuse. Un réveil nocturne et quelques balades en métro plus tard, il fut lu et dévoré…",3.0
"Wondercat, tome 1 : Un chat bleu très très spécial", Audren,De temps en temps je craque pour un roman jeunesse...,5.0
Les galériens volontaires,Gérard Szwec,"Bon. Résumons. Notre fin de civilisation a donné lieu à une dérive morbide des loisirs: le développement d'activités sportives absurdes, auto-infligées, volontairement dures et interminables, répétitives et destinées à remplir le vide de l'existence. Autrement dit, bien que l'auteur ne l'exprime pas formellement, l'utopie qui consistait à vouloir affranchir la population des servitudes de l'usine pour lui permettre de se consacrer aux sciences, aux arts ou aux lettres ne s'est pas réalisée.",3.0
Les animaux extraordinaires,Claude Delafosse,"Les éditions Gallimard Jeunesse proposent de nombreux ouvrages vraiment passionnants, ludiques et originaux.",4.0
Madame Hayat,Ahmet Altan,C’est l’histoire d’une initiation au sentiment amoureux.,3.0
Les filles de la villa aux étoffes,Anne Jacobs,Une très bonne lecture.,4.0
Le signe des quatre, Arthur Conan Doyle,"Me revoilà plonger dans une nouvelle enquête de Sherlock Holmes. Contrairement à la précédente, je n'avais absolument aucun souvenir et pourtant, cette enquête est bien meilleure.",3.5
"Vampyria, tome 2 : La Cour des miracles",Victor Dixen,"J'avais eu un peu de mal avec la cour des ténèbres car je n'avais pas trop accroché avec l'héroïne. néanmoins, l'idée de départ étant assez originale, j'avais prévu de lire le 2eme tome.",4.0
Majestic Murder,Armelle Carbonel,"Troisième livre de cette autrice. Clairement, ce n’est pas mon préféré qui reste jusqu’à présent L’empereur blanc.",3.0
paroles de poilus, Librio,Mémoire et Hommage,5.0
Evie,K. L. Slater,Lorsque l'enfant disparaît,4.0
Vivre avec nos morts,Delphine Horvilleur,"LeH’ayim, « À la vie ! »",5.0
Ainsi gèlent les bulles de savon,Marie Vareille,Les maternelles,5.0
Sous les flocons d'Inverness,Mouna Bouslouk,"Sous les flocons d'Inverness... J'ai adoré, comme lecture de Noël c'est juste parfait ! On se retrouve immergé dans l'ambiance écossaise de la campagne enneigée du Loch Ness (ça me donne tellement envie de retourner en Ecosse....). J'aurais voulu que le livre dure plus longtemps, même si le scénario n'est pas issue d'une grande recherche, il fait largement le job comme lecture cocooning et ma PAL de Noël commence vraiment très bien :)",5.0
"Bohane, sombre cité",Kevin Barry,"c'est ma première rencontre avec Kevin Barry, avec ce roman ovni, à mi-chemin entre la SF et apocalyptique. Bohane est la métaphore de Limerick, en Irlande. Une ville connue pour ses règlements de comptes entre gangs et sa pauvreté. C'est du moins le tableau que beaucoup ont de cette ville. On ne peut pas dire que Kevin Barry redresse le tir !! C'est noir de chez noir. Et franchement ennuyeux à mon goût. Un peu trop spécial, en tout cas. Dommage, j'étais curieuse de voir ce que ça pouvait donner d'intéressant.",2.0
"La saga des Cazalet, tome 4 : Nouveau départ",Elizabeth Jane Howard,"Quel plaisir de retrouver la famille Cazalet dans ce nouveau tome. Et il s'en passe des choses, certains tombent éperdument amoureux, certains se marient, certains meurent, certains divorcent, certains se retrouvent. C'est ce qu'il y a de tellement bien dans les sagas familiales, c'est qu'à suivre les personnages sur plusieurs tomes, on développe une forme de familiarité, de proximité, d'attachement. Bref, toujours aussi plaisant et addictif, une vraie lecture ""bonbon"" qui fait du bien.",5.0
Comment j'ai failli ne pas me marier à Noël,Lucie Castel,"Un roman qui déménage avec une Scarlett survoltée. Retrouver le couple de ""Pas si simple"" est un véritable plaisir mais surtout retrouver le petit monde qui gravite autour encore plus. J'ai une tendre affection pour Mélie, la soeur de Scarlett qui est bien étranger mais tellement attachante. Humour débridée et toujours bien posé, scènes cocasses et loufoque et surtout un mariage vraiment mal barré.",4.0
C’est arrivé la nuit,Marc Levy,Hackers vaillants…,3.5
Un nom sur la liste ,Monica Hesse,"Je vois qu'il y a déjà 33 critiques sur ce livre, faut-il y ajouter la mienne ? J'aime ce récit original sur la 2nde guerre mondiale, sur l'APRES. Comme dans Orphelins 88, ici la guerre est finie, mais tout n'est pas résolu, et l'héroïne se retrouve seule dans la tourmente, d'autant plus seule qu'elle a perdu son frère et le recherche de camp en camp, sur les chemins. C'est une très belle histoire de reconstruction, de couturière, et de fratrie.",4.0
Etre sûr de soi,Willy Pasini,"Je suis un peu mitigé sur cette lecture, elle touche à des sujets divers et variés mais ne prend pas assez le temps de développer. L’essai tourne beaucoup trop autour de la sexualité, du désir ou du fantasme à mon goût, elle est omniprésente ce qui, dans un essai généraliste, créé plutôt un blocage chez moi. Le livre est bien écrit, tout est facilement compréhensible et sans avoir besoin d’une base en psychologie mais pour moi, la confiance en soi n’a rien à voir avec la sexualité, ça peut évidemment jouer mais de là à la mettre sur un piédestal, c’est un peu trop.",2.0
Le manuscrit inachevé,Franck Thilliez,Le livre du livre dans le livre,4.5
"Le jeune acteur, tome 1 : Aventures de Vincent Lacoste au cinéma",Riad Sattouf,Coup foudre amical à retardement entre deux personnes que tout oppose. Ou presque. C'est un peu l'histoire (vraie) narrée par ses protagonistes.,4.0
"Cécile et sa bande, tome 1 : La disparition de Sophie",Véronique Dargent Maquin,"Ecrire pour les plus jeunes n’est pas chose aisée. Il faut être capable de prendre le recul nécessaire afin de retrouver son âme d’enfant. Cependant, il ne suffit pas de réussir à glisser ses pieds dans des souliers devenus trop petits depuis bien longtemps pour rédiger un bon ouvrage destiné à la jeunesse. Encore faut-il savoir observer la génération actuelle, celle à qui l’on va directement s’adresser au fil des mots et des pages.",5.0
Mon chat le plus bête du monde,Gilles Bachelet,"Qui ne connait pas ""Mon chat le plus bête du monde"" ? Cet album de Gilles Bachelet est un incontournable, que dis-je, un classique parmi les albums jeunesse.",4.0
L'enragée ,Jennifer Tellier,"Si au début j'étais totalement hypé par le résumé, j'ai tout de suite été un peu déçue par ce début.",4.0
Ce lien entre nous,David Joy,Brothers in arms,5.0
Une poupée pour maman : Poupée Akua-ba,Adrienne Yabouza,"Adjoa est une petite fille qui nous raconte l’histoire de sa maman qui n’arrivait pas à avoir un bébé. Sur les conseils de son mari, elle est allée voir un sculpteur qui lui a confectionné une poupée. Elle en a pris soin et elle a ainsi réussi à être enceinte et à avoir une petite fille.",4.0
"Le chat du bibliothécaire, tome 1 : Succès mortel",Miranda James,"Charlie Harris, archiviste, dans une université du Mississippi partage sa vie avec un énorme chat, un maine coon, nommé Diesel, à cause de ses nombreux ronronnements.",2.0
La complainte d'Isabeau,Brigitte Moreau,"Dès les premières lignes, j’ai été happée par la plume poétique de l’auteure. Autant j’aimais découvrir Aurore, autant j’avais peur que ce roman reste superficiel. Trop poétique ou fleur bleu…En effet, la prose « facile » de l’auteure m’a fait peur : ne vais-je pas m’ennuyer ? En effet, l’auteur utilise des mots simples, pas de descriptions complexes. Elle raconte une histoire simple sans fioriture ni exagération. En fait, elle va droit au but et finalement, pourquoi pas ?",4.0
"Beastars, tome 14",Paru Itagaki,"Ce tome était tout aussi génial que les précédents. L'intrigue se construit petit à petit et promet quelque chose de grand et d'étonnant. L'univers est devenu plus adulte depuis que Legoshi suit cette nouvelle voie. Ce que j'adore dans ce manga, c'est le côté sombre de l'histoire parsemé de scène légère qui adouci le tout. Et les personnages sont tellement intéressants !",5.0
"Elles, tome 1 : La nouvelle",Kid Toussaint,"Je vais tout d'abord parler du dessin : c'est la première chose qui m'a fait succomber. Je suis tombée en amour avec le trait de l'illustratrice. Il m'a beaucoup fait penser à certains films Pixar, sans vraiment leur ressembler.",5.0
"Astérix, tome 14 : Astérix en Hispanie",René Goscinny,"Un régal! des personnages incroyables (ah ce gosse imbuvable), des aventures trépidantes, une Espagne croquée de façon délicieuse jusqu'à Don Quichotte. A ne pas manquer, encore un grand crû.",4.5
Les mots du Chat,Philippe Geluck,"Le chat nous régale par ses bons mots qui donnent à réfléchir, font sourire ou sont tout simplement hilarants. Alors oui le chat n'est que très peu présent mais cela fonctionne tout de même car le livre représente les créations littéraires de Philippe Geluck. ",4.5
Traverser la nuit,Hervé Le Corre,"Ce livre nous plonge dans trois univers très sombres : celui d'un capitaine de police tellemnt hanté par son métier qu'il en néglige sa famille, celui d'une jeune mère harcelée et violentée par son ex, et enfin celui d'un assassin de jeunes femmes, mû par un instinct sanguinaire et ultra-violent.",4.0
Alma : Le vent se lève, Timothée de Fombelle,"Alma : Le vent se lève, un magnifique roman jeunesse, poétique et bouleversant, sur l'esclavage. Voyage envoûtant et rythmé, ce roman d'aventures, de piraterie, témoignage poignant et documenté sur le commerce triangulaire au 18ème siècle, met en scène des personnages mystérieux et attachants. Encore un texte merveilleux de Timothée de Fombelle, décidément un très grand auteur.",5.0
"Ëldélaran, tome 1 : La clé",Mélodie Or,"Comme tu le sais peut-être ami-lecteur, je choisis mes lectures pour plein de raisons différentes : un résumé sympa, un auteur que je connais, un titre alléchant, des critiques extrêmes,… Par contre s’il y a bien un élément trompeur c’est la couverture. Certaines, sublimes, cachent des récits ridicules alors que d’autres, de fort mauvais goût, ne permettent pas de deviner qu’elles dissimulent des romans très chouettes. Pour te convaincre que l’apparence est effectivement fort trompeuse, il suffit de contempler quelques secondes le rayon romance de n’importe quelle librairie… Sauf que je manque foutrement de cohérence et qu’il m’arrive d’être inexorablement attirée par une belle illustration. C’est ainsi que j’ai choisi La Clé lors d’une opération Masse critique...",2.5
Vous faites quoi pour Noël ?,Carène Ponte,"Dans ce roman, on suit les aventures, avec toutes les péripéties que ça implique, de Pauline. L’histoire commence, somme toute, de manière assez banale. La boîte où elle travaille organise une fête de noël. Petits fours et champagne coulent à flot ! Mais voila qu’au moment de rentrer chez elle, tout dérape ! Sa petite vie tranquille et ses projets de vacances vont s’en trouver tout chamboulés. Mais 🤫, je ne vous en dis pas plus.",4.5
"Grisha, tome 1 : Les orphelins du royaume",Leigh Bardugo,"Il faut le préciser, c'est important, j'ai lu le livre après avoir regardé la série..",4.5
"Le rêveur de mondes, tome 1 : Le pays d'Yven",Jean-Baptiste Receveur,"Tout d'abord, merci à Babelio ainsi qu'aux éditions Plein Vent de m'avoir permis de découvrir ce roman jeunesse.",3.0
Le Nouveau Monde, /Motin Margaux,"Anaïs Vanel nous convie à partager son voyage au Mexique. Des petits poèmes courts racontant son quotidien, son voyage. On n’est pas dans un guide de voyage, Anaïs partage son ressenti, ses émotions, ce que ses yeux et son cœur voient. Nous rencontrons, des lieux, des paysages, des gens, des villes, des plats culinaires. Il y a une innocence dans certains poèmes et en même temps une introspection et profondeur à la recherche de soi.",3.5
Sido, Colette,"Sido, récit de souvenirs d'enfance empreints de nostalgie, est composé de trois parties : la première ""Sido"", centrée sur le personnage de la mère aimante de l'auteur, la deuxième, ""le capitaine"", sur le père, éternel amoureux de sa femme, et la troisième sur ""les sauvages"", les enfants de ce couple. L'auteur partage ses souvenirs de cette famille, de sa place de ""petite dernière"" choyée, son goût déjà pour les livres et son regard d'adulte sur cette période heureuse.",3.5
L'appel de la tribu,Mario Vargas Llosa,"J'avais posté une première critique de ce livre lors de sa sortie, dans laquelle je regrettais qu'un auteur du talent de Vargas Llosa perde son temps à écrire des libelles politiques alors qu'il a tellement mieux à faire. Ce genre d'ouvrages, le premier politicien venu (ou son negre ) en est capable, mais il n'y a que Vargas Llosa qui puisse écrire La Tante Julia et le scribouillard, La guerre de la fin du monde, la série des Lituma. Je persiste et signe.",4.5
"Lady Kildare, tome 1",Brian Holguin,"C’est le type de fantasy que je n’aime pas, trop de néologismes, de la magie omniprésente et une héroïne sexualisée à souhait dans des tenues toujours plus évocatrices. Je ne suis pas fan de l’intrigue qui sert surtout à présenter les personnages et l’univers mais ne possède pas une intrigue qui lui est propre. Pourtant en 195 pages je m’attendais à quelque chose de bien plus poussé mais non, je suis déçu. Le seul moment où l’on a un moment plus poussé c’est lors des pages de texte, « Le récit de Kildare » mais ici encore l’écriture est plutôt pauvre et coche tous les clichés du genre.",2.0
Les fruits tombent des arbres,Florent Oiseau,"Quel drôle de livre ! Au début de ma lecture, j'ai été déstabilisée par le style, plutôt franc, voire brutal par moment, sur le fil entre cynisme et mélancolie et puis ensuite, comme si je m'étais habituée à la plume de Florent Oiseau, je me suis complètement laissé embarquer dans l'histoire. Et j'y ai même vu de la poésie dans la préparation d'une mayo ou dans un vomi sur un trottoir, un trajet en bus ou une séance au lavomatic, c'est dire ! A chaque page, un moment suspendu... C'est une ode à la contemplation : l'histoire d'un homme qui passe ses journées à ne ""rien"" faire, juste à regarder ce qui l'entoure, s'en imprégner et n'en retenir que le meilleur. Avec lui, on trouve dans l'ordinaire, de l'extraordinaire. C'est un point de vue. Un vent de liberté : ""Il faut un certain détachement, une forme de poésie pour se satisfaire du banal et en extraire le merveilleux"" (p216). Vraiment incroyable cette lecture ! Et je me demande si je ne vais pas, moi aussi, porter un peu plus d'intérêt aux petites choses du quotidien, elles peuvent être belles, remplies de sens et réserver des surprises...",4.5
L’ombre de la nuit,Marco Pianelli,"Bonjour amis lecteurs,",4.5
Sainte Marguerite-Marie et moi,Clémentine Beauvais,"Tel un souvenir de ma licence d’Histoire, j’ai décidé par un bon matin de découvrir la vie d’une certaine sainte nommée Marguerite-Marie.",5.0
"After, tome 3 : After We Fell",Anna Todd,"J’ai comme objectif de terminer les sagas que j’ai en cours depuis un moment, After fait partie des sagas que j’ai commencée il y a des années et que j’ai laissée de côté. J’aimerais en 2022 me mettre à jour dans presque toutes les sagas...",3.0
Accents graves,Mary Play-Parlange,C'est un peu par hasard que je suis tombé sur ce petit polar. C'est aussi le premier polar que je lis de Mary Play-Parlange et ma première rencontre aussi avec Melinda Fields,3.0
L'Île des esclaves, Marivaux,"Ce livre est excellent. Très bien écrit, je l'ai lu avec attention. De plus, il est très bien pour les étudiants qui passent le bac de par sa conception.",5.0
Le pouvoir rhétorique,Clement Viktorovitch,Le livre est imposant: 8 chapitres sur 440 pages plus une trentaine de notes plus un glossaire des termes techniques en bonus.,4.0
Trois jours et trois nuits,Sylvain Tesson,"Livre lu en 3 jours, coïncidence ? Peut-être ou peut-être pas ?",5.0
"Blake et Mortimer, tome 28 : Le dernier espadon", Van Hamme Jean,"Pas convaincu ... pour clore la saga ""espadon"", voici un album mélangeant tout et rien ... un nazi recoupé, des membres de l'IRA, un complot idiot, un Olrik effacé mais toujours présent, des personnages un peu éloignés du mythe jacobsien ... ce n'est pas que le livre soit mauvais, mais trop d'erreurs techniques (je n'arrive plus à supporter les approximations, notamment au niveau de Nasir), de l'humour malvenu (les blagues sur les relations de Blake et Mortimer et sur la bouffe anglaise, c'est NON pour moi ! quant à la secrétaire de Blake, c'est d'un goût que je pourrais accepter partout sauf là !) ... après voilà, ce tome suite les aventures en Chine (que j'ai très moyennement appréciées) et ne parvient pas à se maintenir au niveau du Bâton de Plutarque qui était pour moi quasiment excellent ...",3.0
"Les maîtres inquisiteurs, tome 16 : Talh",Sylvain Cordurié,"Ce tome aurait pu s'appeler l'ombre et la lumière, ou la cape et l'épée, ou bien tout simplement Akia, du nom de la maîtresse inquisitrice qui se partage la vedette avec Talh. La première est la lumière, le second, l'ombre. Il est intéressant de noter que c'est celui ci qui est mis en avant dans le titre, alors qu'Akia, elle, a plus d'importance dans le récit. Cet espèce de jeu d'ombre et de lumière n'est certainement pas involontaire de la part de Sylvain Cordurié, et leur indissociabilité est constamment présente tout au long du récit. L'on pourrait même avancer que l'histoire tourne autour de ce double personnage, de cet entité à deux visages que forment Akia et Talh.",4.0
"Capitale du Nord, tome 1 : Citadins de demain",Claire Duvivier,"Il m'a fallu du temps pour retrouver ne serait-ce que le titre de cette saga (la Tour de Garde) dont on annonce six tomes, répartis en deux trilogies (Capitale du Sud et Capitale du Nord), écrite à quatre mains par le couple Claire Duvivier et Guillaume Chamanadjian, et dont les critiques promettent une formidable épopée au cœur de deux villes d'inspiration italienne et hanséatique.",3.0
Les sorcières de Pendle,Stacey Halls,"Il ne faut pas se fier au titre Les Sorcières de Pendle car je trouve qu’il est bien trompeur. Vous seriez déçus, si vous souhaitez une lecture qui porte principalement sur la vie de sorcières, ou sur le procès des sorcières de Pendle qui a vraiment eu lieu et s’est tenu en 1612 à Lancaster. ",4.0
Les victorieuses,Laetitia Colombani,"Une magnifique histoire sur la résilience de femmes malgré les coups durs de la vie, ou les coups tout court. En parallèle, on suit la véritable histoire du Palais et les vies de ces femmes. Ce mélange entre Histoire et drame apporte un rythme qui fait se dévorer ce livre assez court. C'est un régal.",5.0
Le livre de tous les pays,Georges Jean,"Ma madeleine de Proust. Premier livre acheté avec mon propre argent de poche, il y a maintenant plus de 30 ans. Sorti de ma bibliothèque par ma fille de 4 ans qui m'a dit "" il est trop beau "". C'est vrai que c'est un beau livre, les illustrations m'ont toujours fait rêver. En l'ouvrant, j'ai retrouvé le plaisir que j'avais à le feuilleter à l'époque même si certaines informations sont maintenant obsolètes. Les citations qu'il contient me faisaient voyager et rêver. Bref, un livre qu'il m'est interdit de perdre...",5.0
"Loin, à l'ouest",Delphine Coulin,"Palmyre, Georgette, la grande Zélie, Lucie, Solange, Octavie, ...",4.5
La vie invisible d'Addie Larue,Victoria Schwab,Je suis déçue. Après avoir vu de nombreux avis positifs et le résumé étant très alléchant j'ai voulu me lancer dans cette lecture et... ce livre n'a pas répondu à mes attentes.,2.0
Déchets land,Anne Belot,"Gros coup de coeur que cette bande dessinée, sur un sujet pourtant pas spécialement facile: les déchets. Oui, dis comme ça je ne vous fait pas rêver, et pourtant! Il y a longtemps que je n'avais pas lu quelque chose d'aussi complet et bien expliqué, pour les débutants sur le sujet comme pour les déjà renseignés,et le media s'y prête finalement assez bien, allégeant non pas le propos, Anne Belot ne va pas prétendre qu'il n'y a pas ici un énorme problème, mais la façon dont nous le recevons. J'ai aussi aimé le côté très complet de l'ouvrage: des multiples problèmes du recyclage aux multiples problèmes de la pollution marine, aux multiples problèmes des déchets spatiaux, aux multiples problèmes de l'incinération.... Tout y est, mais évidemment tout fait grincer des dents. Ou plutôt presque tout, parce que l'auteur présente les, beaucoup trop rares, initiatives qui existent déjà.",5.0
CLASSIC ROCK POSTERS 1952-2012:60 ANS D'AFFICHES ROCK,Mick Farren,"« 1952-2012 : 60 ans d'affiches rock », tel est le sous-titre de ce très bel ouvrage à l'allure racée.",5.0
Promenons-nous tant que la mort n'y est pas,Mélanie Desforges,Mais c'est de la bombe ce recueil.,5.0
"Iron Man - Intégrale, tome 10",Len Wein,Je poursuis mon exploration des comics de l’univers Marvel avec le tome 10 de l’intégrale d’Iron Man. Celui-ci reprend les épisodes 82 à 93 (janvier à décembre 1976).,4.0
"Les Voleurs de fumée, tome 1",Sally Green,Je me suis régalée !,5.0
L'Homme qui rit,Victor Hugo,Quand les âmes sombrent.,5.0
Sans famille,Hector Malot,"Incontournables Rémi, Capi et Joli-Cœur dont je ne connaissais pourtant pas l'histoire. J'ai le tome I dans ma bibliothèque ramenée de l'enfance, mais je ne pense pas l'avoir lu. J'ai souvenir du dessin animé diffusé en France dans les années 1980... mais ne l'ai jamais regardé. Bref, Sans Famille c'était pour moi un petit garçon avec un signe en costume sur l'épaule. Et c'est tout. Heureusement, la lacune est maintenant comblée grâce à ma fille avec qui je prends plaisir à découvrir mes classiques lors de nos lectures du soir.",5.0
"Et d'un seul bras, la soeur balaie sa maison",Cherie Jones,"J'ai été attirée par ce livre pour plusieurs raisons : un titre plus qu'intrigant, une couverture aux couleurs vives et chatoyantes, de la littérature étrangère après plus d'un mois immergée uniquement dans des romans français, un premier roman et une auteure de la Barbade. J'attendais un dépaysement intellectuel et je l'ai eu.",3.5
Les couleurs,Felicity Brooks,Un très joli cadeau ce coffret !,4.0
